,2.9,2.95,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.25,5.5,5.75
0.074,0.483182766,0.46290757,0.443861237,0.393930044,0.344305412,0.313897611,0.284396946,0.254607196,0.233028699,0.216882136,0.205961986,0.19885493,0.225333143,0.255346133,,-0.001050159,-0.010311062,-0.016792832,,,,,,,,
0.17,,,,,,,0.244474002,0.241563499,0.234247393,0.232829615,0.231870481,0.236645311,0.237979507,0.251693669,0.266182827,,,,,,,,,,,
0.323,,0.284012003,0.27475239,0.264046059,0.254743754,0.245197025,0.235184649,0.234152148,0.22670181,0.223000805,0.223605938,0.225156659,0.256245349,0.262451842,0.263402375,0.270005452,,,,,,,,,,
0.573,,,,,,0.244820408,0.245386399,0.245135414,0.245540228,0.244942731,0.252916254,0.251019869,0.25769121,0.255453974,0.263790223,0.261430575,0.277749898,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
____,__,______tick____,,,___,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.9,2.95,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.25,5.5,5.75
0.003_1____,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005_2____,,,,,,,,,,,,,,,,,,,,,,,,,,
É,,,,,,,,,,,,,,,,,,,,,,,,,,
0.074 _27____,,,,,,,,,,,,,,,,,,,,,,,,,,
0.077_28____,,,,,,,,,,,,,,,,,,,,,,,,,,
0.079_29____,,,,,,,,,,,,,,,,,,,,,,,,,,
É,,,,,,,,,,,,,,,,,,,,,,,,,,
0.167_61____,,,,,,,,,,,,,,,,,,,,,,,,,,
0.17_62____,,,,,,,,,,,,,,,,,,,,,,,,,,
0.173_63____,,,,,,,,,,,,,,,,,,,,,,,,,,
É,,,,,,,,,,,,,,,,,,,,,,,,,,
0.321_117____,,,,,,,,,,,,,,,,,,,,,,,,,,
0.323_118____,,,,,,,,,,,,,,,,,,,,,,,,,,
0.326_119____,,,,,,,,,,,,,,,,,,,,,,,,,,
0.329_120____,,,,,,,,,,,,,,,,,,,,,,,,,,
É,,,,,,,,,,,,,,,,,,,,,,,,,,
0.573_209____,,,,,,,,,,,,,,,,,,,,,,,,,,
0.575_210____,,,,,,,,,,,,,,,,,,,,,,,,,,
0.578_211____,,,,,,,,,,,,,,,,,,,,,,,,,,
É,,,,,,,,,,,,,,,,,,,,,,,,,,